Date,Symbol,Open,High,Low,Close,Volume
2014-10-17,SPY,188.419998,189.75,187.619995,180.844821,214625000
2014-10-16,SPY,183.059998,187.580002,182.889999,178.733833,270391000
2014-10-15,SPY,185.160004,187.690002,181.919998,178.887348,380715000
2014-10-14,SPY,188.419998,189.820007,187.039993,180.10597,215847000
2014-10-13,SPY,190.460007,191.149994,187.300003,179.827709,230939000
2014-10-10,SPY,192.690002,193.649994,190.490005,182.831065,221909000
2014-10-09,SPY,196.330002,196.600006,192.580002,184.942068,210705000
2014-10-08,SPY,193.369995,196.919998,192.360001,188.684275,186461000
2014-10-07,SPY,195.279999,195.720001,193.220001,185.44102,147913000
2014-10-06,SPY,197.339996,197.600006,195.580002,188.34843,104778000
2014-10-03,SPY,195.679993,196.940002,195.080002,188.569135,121569000
2014-10-02,SPY,194.179993,195.059998,192.350006,186.515716,157285000
2014-10-01,SPY,196.699997,196.770004,193.910004,186.486931,177798000
2014-09-30,SPY,197.690002,198.300003,196.610001,189.048906,131302000
2014-09-29,SPY,196.199997,197.889999,196.050003,189.547857,95112000
2014-09-26,SPY,196.699997,198.389999,196.419998,189.893292,103547000
2014-09-25,SPY,199.039993,199.050003,196.270004,188.39641,150300000
2014-09-24,SPY,198.039993,199.690002,197.520004,191.486135,107276000
2014-09-23,SPY,198.429993,199.259995,197.949997,189.998842,111393000
2014-09-22,SPY,200.350006,200.380005,198.729996,191.092719,125553000
2014-09-19,SPY,201.520004,201.899994,200.289993,192.580012,121649000
2014-09-18,SPY,201.360001,201.850006,201.100006,192.753694,94990000
2014-09-17,SPY,200.770004,201.679993,199.75,191.731754,151266000
2014-09-16,SPY,198.610001,200.839996,198.50,191.473879,116201000
2014-09-15,SPY,199.160004,199.320007,198.380005,190.041263,76401000
2014-09-12,SPY,200.100006,200.119995,198.559998,190.184534,117409300
2014-09-11,SPY,199.270004,200.330002,199.119995,191.301972,66774400
2014-09-10,SPY,199.429993,200.199997,198.770004,191.082309,67251000
2014-09-09,SPY,200.410004,200.550003,198.910004,190.366001,88591000
2014-09-08,SPY,200.919998,201.210007,200.00,191.578938,64146000
2014-09-05,SPY,200.169998,201.190002,199.410004,192.075582,102177000
2014-09-04,SPY,200.839996,201.580002,199.660004,191.216019,85236000
2014-09-03,SPY,201.380005,201.410004,200.220001,191.492985,57462000
2014-09-02,SPY,200.970001,201.00,199.860001,191.598044,72426000
2014-08-29,SPY,200.449997,200.729996,199.820007,191.693557,65907000
2014-08-28,SPY,199.589996,200.270004,199.389999,191.149156,58330000
2014-08-27,SPY,200.429993,200.570007,199.940002,191.254215,47874000
2014-08-26,SPY,200.330002,200.820007,200.279999,191.330623,47298000
2014-08-25,SPY,200.139999,200.589996,199.149994,191.206459,63855000
2014-08-22,SPY,199.339996,199.690002,198.740005,190.241836,76107000
2014-08-21,SPY,199.089996,199.759995,198.929993,190.537908,67791000
2014-08-20,SPY,198.119995,199.160004,198.080002,189.983961,72763000
2014-08-19,SPY,197.839996,198.539993,197.440002,189.477771,59135000
2014-08-18,SPY,196.800003,197.449997,196.690002,188.494043,75424000
2014-08-15,SPY,196.470001,196.649994,194.309998,186.927717,139951000
2014-08-14,SPY,195.160004,195.759995,194.979996,186.965913,57371000
2014-08-13,SPY,194.289993,195.059998,193.960007,186.087244,69047000
2014-08-12,SPY,193.610001,194.149994,192.940002,184.836095,73632000
2014-08-11,SPY,193.970001,194.660004,193.710007,185.09397,74544000
2014-08-08,SPY,191.460007,193.369995,190.949997,184.559129,117014000
2014-08-07,SPY,192.940002,193.130005,190.550003,182.448402,135733000
2014-08-06,SPY,191.110001,192.889999,191.080002,183.441691,94818000
2014-08-05,SPY,193.100006,193.600006,191.309998,183.384374,152690000
2014-08-04,SPY,192.869995,194.300003,192.050003,185.179924,91340000
2014-08-01,SPY,192.559998,193.759995,191.570007,183.852367,189261000
2014-07-31,SPY,195.610001,195.779999,192.970001,184.415859,183479000
2014-07-30,SPY,197.649994,197.910004,196.160004,188.131109,104222000
2014-07-29,SPY,198.169998,198.449997,196.919998,188.102458,80466000
2014-07-28,SPY,197.759995,198.089996,196.619995,188.914279,69259000
2014-07-25,SPY,198.089996,198.259995,197.330002,188.837871,76837000
2014-07-24,SPY,198.830002,199.059998,198.449997,189.726086,56888000
2014-07-23,SPY,198.50,198.850006,198.100006,189.716541,65612000
2014-07-22,SPY,198.009995,198.559998,197.869995,189.296304,67678000
2014-07-21,SPY,197.089996,197.50,196.429993,188.474937,67592000
2014-07-18,SPY,196.350006,197.910004,196.240005,188.828326,124330000
2014-07-17,SPY,197.350006,198.100006,195.429993,186.918171,145398000
2014-07-16,SPY,198.110001,198.259995,197.419998,189.067095,79986400
2014-07-15,SPY,197.720001,198.100006,196.360001,188.369878,111307000
2014-07-14,SPY,197.610001,197.860001,197.440002,188.723267,58658000
2014-07-11,SPY,196.220001,196.75,195.779999,187.777735,64243000
2014-07-10,SPY,195.220001,196.860001,195.059998,187.51986,99040000
2014-07-09,SPY,196.729996,197.300003,196.309998,188.264819,72992000
2014-07-08,SPY,197.149994,197.220001,195.759995,187.424361,108143000
2014-07-07,SPY,197.820007,197.979996,197.220001,188.637299,61696000
2014-07-03,SPY,197.789993,198.289993,197.639999,189.296304,52938800
2014-07-02,SPY,197.050003,197.479996,196.960007,188.369878,52475000
2014-07-01,SPY,196.199997,197.630005,196.130005,188.178866,90470000
2014-06-30,SPY,195.699997,196.169998,195.529999,186.927717,70201200
2014-06-27,SPY,194.979996,195.880005,194.889999,187.02323,71445100
2014-06-26,SPY,195.610001,195.630005,194.130005,186.660296,84312000
2014-06-25,SPY,194.289993,195.779999,194.25,186.794007,82782000
2014-06-24,SPY,195.529999,196.50,194.479996,185.953534,96237000
2014-06-23,SPY,195.990005,196.050003,195.520004,187.080533,70611000
2014-06-20,SPY,196.029999,196.100006,195.699997,187.137835,100587000
2014-06-19,SPY,196.429993,196.600006,195.800003,186.758665,85929000
2014-06-18,SPY,194.830002,196.369995,194.399994,186.549549,105267000
2014-06-17,SPY,194.020004,194.970001,193.809998,185.190309,84834000
2014-06-16,SPY,193.889999,194.699997,193.660004,184.677018,87424000
2014-06-13,SPY,193.919998,194.320007,193.300003,184.524946,82017000
2014-06-12,SPY,194.690002,194.800003,193.110001,183.964126,106350000
2014-06-11,SPY,194.899994,195.119995,194.479996,185.275852,68772000
2014-06-10,SPY,195.339996,195.639999,194.919998,185.922215,57129000
2014-06-09,SPY,195.350006,196.050003,195.169998,185.903201,65119000
2014-06-06,SPY,194.869995,195.429993,194.779999,185.713099,78696000
2014-06-05,SPY,193.410004,194.649994,192.699997,184.829105,92103000
2014-06-04,SPY,192.470001,193.300003,192.270004,183.631452,55529000
2014-06-03,SPY,192.429993,192.899994,192.25,183.260749,65047000
2014-06-02,SPY,192.949997,192.990005,191.970001,183.355793,64656000
2014-05-30,SPY,192.190002,192.800003,192.029999,183.146676,76316000
2014-05-29,SPY,191.820007,192.399994,191.330002,182.852017,64377000
2014-05-28,SPY,191.520004,191.820007,191.059998,181.911009,66723000
2014-05-27,SPY,191.059998,191.580002,190.949997,182.044081,72010000
2014-05-23,SPY,189.759995,190.479996,189.589996,180.931972,61092800
2014-05-22,SPY,189.179993,189.979996,188.860001,180.209565,61549000
2014-05-21,SPY,188.089996,189.220001,188.059998,179.772333,89093000
2014-05-20,SPY,188.649994,188.669998,187.070007,178.270506,111644000
2014-05-19,SPY,187.690002,188.889999,187.520004,179.40163,63839000
2014-05-16,SPY,187.509995,188.130005,186.720001,178.745767,97458000
2014-05-15,SPY,188.679993,188.720001,186.479996,178.127919,154956000
2014-05-14,SPY,189.789993,189.880005,188.789993,179.705789,72367000
2014-05-13,SPY,190.039993,190.419998,189.770004,180.561268,66454000
2014-05-12,SPY,188.800003,189.880005,188.00,180.399667,86940000
2014-05-09,SPY,187.710007,188.039993,186.830002,178.660223,83679000
2014-05-08,SPY,187.710007,189.050003,187.080002,178.394064,93618000
2014-05-07,SPY,187.410004,187.970001,186.009995,178.58418,106500000
2014-05-06,SPY,188.00,188.130005,186.740005,177.538599,85454000
2014-05-05,SPY,187.139999,188.550003,186.619995,179.097456,75883000
2014-05-02,SPY,188.309998,189.139999,187.779999,178.755267,98122000
2014-05-01,SPY,188.220001,188.839996,187.729996,179.011912,93019000
2014-04-30,SPY,187.440002,188.50,187.179993,178.992898,101508000
2014-04-29,SPY,187.479996,188.039993,187.080002,178.460607,84098000
2014-04-28,SPY,187.050003,187.690002,184.960007,177.633657,135121000
2014-04-25,SPY,187.220001,187.330002,185.869995,177.072838,100380000
2014-04-24,SPY,188.369995,188.389999,186.929993,178.536651,88170000
2014-04-23,SPY,187.820007,187.919998,187.300003,178.175448,73869000
2014-04-22,SPY,187.229996,188.399994,187.130005,178.59368,85790000
2014-04-21,SPY,186.440002,187.100006,186.210007,177.78573,68329000
2014-04-17,SPY,185.880005,186.910004,185.559998,177.167896,105255000
2014-04-16,SPY,185.470001,186.139999,184.649994,176.920765,105197000
2014-04-15,SPY,183.320007,184.330002,181.509995,175.086249,157093000
2014-04-14,SPY,182.929993,183.369995,181.440002,173.888596,132382000
2014-04-11,SPY,182.139999,183.419998,181.309998,172.529341,167251000
2014-04-10,SPY,187.080002,187.169998,182.929993,174.097712,172959000
2014-04-09,SPY,185.600006,187.149994,185.059998,177.833259,100254000
2014-04-08,SPY,184.259995,185.399994,183.589996,175.941728,112660000
2014-04-07,SPY,185.949997,186.259995,183.960007,175.219322,140803000
2014-04-04,SPY,189.660004,189.699997,186.100006,177.177396,169381000
2014-04-03,SPY,189.169998,189.220001,188.050003,179.297072,77435000
2014-04-02,SPY,188.490005,189.130005,188.139999,179.534702,78774000
2014-04-01,SPY,187.619995,188.360001,187.00,178.935869,89193000
2014-03-31,SPY,186.669998,187.300003,185.520004,177.757215,99745000
2014-03-28,SPY,185.110001,186.419998,185.00,176.312432,101642000
2014-03-27,SPY,184.75,185.339996,183.899994,175.447453,142383000
2014-03-26,SPY,187.039993,187.339996,184.919998,175.818156,119843000
2014-03-25,SPY,186.369995,186.940002,185.270004,177.091852,103852000
2014-03-24,SPY,186.839996,187.070007,184.619995,176.255388,121411000
2014-03-21,SPY,187.710007,189.020004,186.029999,176.987294,163128000
2014-03-20,SPY,186.25,187.889999,185.919998,177.676425,117241000
2014-03-19,SPY,187.679993,187.940002,185.470001,176.644912,176267300
2014-03-18,SPY,186.710007,187.910004,186.509995,177.591257,101804600
2014-03-17,SPY,185.589996,186.770004,185.509995,176.332616,98359500
2014-03-14,SPY,184.850006,185.800003,184.440002,174.75222,153919600
2014-03-13,SPY,187.839996,187.990005,184.660004,175.244309,155014300
2014-03-12,SPY,186.320007,187.350006,185.899994,177.231641,104824400
2014-03-11,SPY,188.440002,188.710007,186.800003,177.184321,99009100
2014-03-10,SPY,187.970001,188.229996,187.080002,178.06443,74939200
2014-03-07,SPY,188.960007,188.960007,187.429993,178.159056,114513500
2014-03-06,SPY,188.210007,188.610001,187.779999,178.083347,82516500
2014-03-05,SPY,187.740005,188.070007,187.449997,177.676425,88376900
2014-03-04,SPY,186.789993,187.979996,186.75,177.515548,167545900
2014-03-03,SPY,184.649994,185.449997,183.75,175.055043,167748500
2014-02-28,SPY,185.789993,187.149994,185.050003,176.294754,150842000
2014-02-27,SPY,184.580002,185.869995,184.369995,175.849985,93880800
2014-02-26,SPY,185.110001,185.600006,184.330002,174.932028,98677200
2014-02-25,SPY,185.059998,185.589996,184.229996,174.922555,117085000
2014-02-24,SPY,184.279999,186.149994,184.199997,174.988806,114063900
2014-02-21,SPY,184.449997,184.889999,183.800003,174.02353,118116400
2014-02-20,SPY,183.270004,184.520004,182.600006,174.222269,104998100
2014-02-19,SPY,183.759995,184.949997,182.869995,173.200213,126524300
2014-02-18,SPY,184.179993,184.490005,183.649994,174.354757,80460900
2014-02-14,SPY,182.839996,184.360001,182.669998,174.146559,96498400
2014-02-13,SPY,180.839996,183.199997,180.830002,173.190741,100542200
2014-02-12,SPY,182.25,182.830002,181.710007,172.301188,94717700
2014-02-11,SPY,180.160004,182.440002,180.039993,172.216006,117814100
2014-02-10,SPY,179.699997,180.070007,179.210007,170.351703,92218800
2014-02-07,SPY,178.309998,179.869995,177.729996,170.039408,170787200
2014-02-06,SPY,175.580002,177.479996,175.220001,167.95745,132877600
2014-02-05,SPY,174.779999,175.559998,173.710007,165.771393,164230500
2014-02-04,SPY,174.949997,175.839996,174.110001,165.97959,165012400
2014-02-03,SPY,177.970001,178.369995,173.830002,164.825047,254837100
2014-01-31,SPY,177.009995,179.289993,176.919998,168.619889,194677900
2014-01-30,SPY,178.830002,179.809998,178.259995,169.613555,118938100
2014-01-29,SPY,177.580002,178.550003,176.880005,167.834434,216597300
2014-01-28,SPY,178.139999,179.300003,178.119995,169.46215,110463200
2014-01-27,SPY,179.059998,179.520004,177.119995,168.459012,180843100
2014-01-24,SPY,181.600006,181.660004,178.830002,169.291801,208677100
2014-01-23,SPY,183.369995,183.399994,181.820007,172.982544,132496900
2014-01-22,SPY,184.490005,184.570007,183.910004,174.411535,61270900
