"date","close","volume","open","high","low"
"2015/07/31","0.1999","9020.0000","0.1999","0.1999","0.1929"
"2015/07/30","0.1999","200.0000","0.1998","0.1999","0.1998"
"2015/07/29","0.1300","0.0000","0.1300","0.1300","0.1300"
"2015/07/28","0.1300","0.0000","0.1300","0.1300","0.1300"
"2015/07/27","0.1300","0.0000","0.1300","0.1300","0.1300"
"2015/07/24","0.1300","15812.0000","0.1400","0.1400","0.1300"
"2015/07/23","0.1600","62100.0000","0.1400","0.1600","0.1200"
"2015/07/22","0.2500","4970.0000","0.2500","0.2500","0.1300"
"2015/07/21","0.1300","1100.0000","0.2500","0.2500","0.1300"
"2015/07/20","0.1300","0.0000","0.1300","0.1300","0.1300"
"2015/07/17","0.1300","0.0000","0.1300","0.1300","0.1300"
"2015/07/16","0.1300","0.0000","0.1300","0.1300","0.1300"
"2015/07/15","0.1300","400.0000","0.1700","0.1700","0.1300"
"2015/07/14","0.1700","58981.0000","0.2000","0.2000","0.1101"
"2015/07/13","0.1600","0.0000","0.1600","0.1600","0.1600"
"2015/07/10","0.1600","0.0000","0.1600","0.1600","0.1600"
"2015/07/09","0.1600","0.0000","0.1600","0.1600","0.1600"
"2015/07/08","0.1600","0.0000","0.1600","0.1600","0.1600"
"2015/07/07","0.1600","150.0000","0.1600","0.1600","0.1600"
"2015/07/06","0.1600","200.0000","0.1600","0.1600","0.1600"
"2015/07/02","0.1800","0.0000","0.1800","0.1800","0.1800"
"2015/07/01","0.1800","500.0000","0.1800","0.1800","0.1800"
"2015/06/30","0.1800","20696.0000","0.1800","0.2500","0.1800"
"2015/06/29","0.2000","33171.0000","0.2000","0.2000","0.1600"
"2015/06/26","0.1600","34400.0000","0.2200","0.3500","0.1600"
"2015/06/25","0.2200","12820.0000","0.2020","0.2200","0.1800"
"2015/06/24","0.2010","64323.0000","0.1425","0.2010","0.1425"
"2015/06/23","0.1450","0.0000","0.1450","0.1450","0.1450"
"2015/06/22","0.1450","1450.0000","0.1450","0.1450","0.1450"
"2015/06/19","0.1450","10500.0000","0.1450","0.2000","0.1450"
"2015/06/18","0.2000","0.0000","0.2000","0.2000","0.2000"
"2015/06/17","0.2000","5100.0000","0.1400","0.2000","0.1400"
"2015/06/16","0.1700","100.0000","0.1700","0.1700","0.1700"
"2015/06/15","0.1300","28683.0000","0.1200","0.1400","0.1200"
"2015/06/12","0.2199","3100.0000","0.1200","0.2199","0.1200"
"2015/06/11","0.1150","12075.0000","0.1000","0.1150","0.1000"
"2015/06/10","0.2200","7600.0000","0.1000","0.2200","0.1000"
"2015/06/09","0.2200","38812.0000","0.2200","0.2200","0.1000"
"2015/06/08","0.1100","1000.0000","0.1100","0.1100","0.1100"
"2015/06/05","0.1100","0.0000","0.1100","0.1100","0.1100"
"2015/06/04","0.1100","0.0000","0.1100","0.1100","0.1100"
"2015/06/03","0.1100","2100.0000","0.1000","0.1100","0.1000"
"2015/06/02","0.1100","18900.0000","0.1100","0.1100","0.1100"
"2015/06/01","0.1350","0.0000","0.1350","0.1350","0.1350"
"2015/05/29","0.1350","0.0000","0.1350","0.1350","0.1350"
"2015/05/28","0.1350","27600.0000","0.0940","0.1430","0.0920"
"2015/05/27","0.1430","28300.0000","0.1050","0.1430","0.1040"
"2015/05/26","0.0900","30000.0000","0.0900","0.0900","0.0900"
"2015/05/22","0.1520","600.0000","0.1290","0.1520","0.1290"
"2015/05/21","0.1500","0.0000","0.1500","0.1500","0.1500"
"2015/05/20","0.1500","1500.0000","0.1200","0.1500","0.1200"
"2015/05/19","0.2220","0.0000","0.2220","0.2220","0.2220"
"2015/05/18","0.2220","0.0000","0.2220","0.2220","0.2220"
